raceId,driverId,positionOrder,qualifying_position,podium_finish,year,name,forename,surname,driver_name,points,championship_position
1040,8,14,20,0,2020,Russian Grand Prix,Kimi,Räikkönen,Kimi Räikkönen,2.0,16
1040,846,15,8,0,2020,Russian Grand Prix,Lando,Norris,Lando Norris,65.0,4
1040,849,16,19,0,2020,Russian Grand Prix,Nicholas,Latifi,Nicholas Latifi,0.0,19
1040,154,17,16,0,2020,Russian Grand Prix,Romain,Grosjean,Romain Grosjean,0.0,21
1040,847,18,14,0,2020,Russian Grand Prix,George,Russell,George Russell,0.0,20
1040,832,19,6,0,2020,Russian Grand Prix,Carlos,Sainz,Carlos Sainz,41.0,11
1040,840,20,13,0,2020,Russian Grand Prix,Lance,Stroll,Lance Stroll,57.0,8
1041,1,1,2,1,2020,Eifel Grand Prix,Lewis,Hamilton,Lewis Hamilton,230.0,1
1041,830,2,3,1,2020,Eifel Grand Prix,Max,Verstappen,Max Verstappen,147.0,3
1041,817,3,6,1,2020,Eifel Grand Prix,Daniel,Ricciardo,Daniel Ricciardo,78.0,4
1041,815,4,9,0,2020,Eifel Grand Prix,Sergio,Pérez,Sergio Pérez,68.0,5
1041,832,5,10,0,2020,Eifel Grand Prix,Carlos,Sainz,Carlos Sainz,51.0,11
1041,842,6,12,0,2020,Eifel Grand Prix,Pierre,Gasly,Pierre Gasly,53.0,10
1041,844,7,4,0,2020,Eifel Grand Prix,Charles,Leclerc,Charles Leclerc,63.0,8
1041,807,8,20,0,2020,Eifel Grand Prix,Nico,Hülkenberg,Nico Hülkenberg,10.0,15
1041,154,9,16,0,2020,Eifel Grand Prix,Romain,Grosjean,Romain Grosjean,2.0,18
1041,841,10,14,0,2020,Eifel Grand Prix,Antonio,Giovinazzi,Antonio Giovinazzi,3.0,16
1041,20,11,11,0,2020,Eifel Grand Prix,Sebastian,Vettel,Sebastian Vettel,17.0,13
1041,8,12,19,0,2020,Eifel Grand Prix,Kimi,Räikkönen,Kimi Räikkönen,2.0,17
1041,825,13,15,0,2020,Eifel Grand Prix,Kevin,Magnussen,Kevin Magnussen,1.0,19
1041,849,14,18,0,2020,Eifel Grand Prix,Nicholas,Latifi,Nicholas Latifi,0.0,20
1041,826,15,13,0,2020,Eifel Grand Prix,Daniil,Kvyat,Daniil Kvyat,14.0,14
1041,846,16,8,0,2020,Eifel Grand Prix,Lando,Norris,Lando Norris,65.0,6
1041,848,17,5,0,2020,Eifel Grand Prix,Alexander,Albon,Alexander Albon,64.0,7
1041,839,18,7,0,2020,Eifel Grand Prix,Esteban,Ocon,Esteban Ocon,36.0,12
1041,822,19,1,0,2020,Eifel Grand Prix,Valtteri,Bottas,Valtteri Bottas,161.0,2
1041,847,20,17,0,2020,Eifel Grand Prix,George,Russell,George Russell,0.0,21
1042,1,1,1,1,2020,Portuguese Grand Prix,Lewis,Hamilton,Lewis Hamilton,256.0,1
1042,822,2,2,1,2020,Portuguese Grand Prix,Valtteri,Bottas,Valtteri Bottas,179.0,2
1042,830,3,3,1,2020,Portuguese Grand Prix,Max,Verstappen,Max Verstappen,162.0,3
1042,844,4,4,0,2020,Portuguese Grand Prix,Charles,Leclerc,Charles Leclerc,75.0,5
1042,842,5,9,0,2020,Portuguese Grand Prix,Pierre,Gasly,Pierre Gasly,63.0,9
1042,832,6,7,0,2020,Portuguese Grand Prix,Carlos,Sainz,Carlos Sainz,59.0,10
1042,815,7,5,0,2020,Portuguese Grand Prix,Sergio,Pérez,Sergio Pérez,74.0,6
1042,839,8,11,0,2020,Portuguese Grand Prix,Esteban,Ocon,Esteban Ocon,40.0,12
1042,817,9,10,0,2020,Portuguese Grand Prix,Daniel,Ricciardo,Daniel Ricciardo,80.0,4
1042,20,10,15,0,2020,Portuguese Grand Prix,Sebastian,Vettel,Sebastian Vettel,18.0,13
1042,8,11,16,0,2020,Portuguese Grand Prix,Kimi,Räikkönen,Kimi Räikkönen,2.0,17
1042,848,12,6,0,2020,Portuguese Grand Prix,Alexander,Albon,Alexander Albon,64.0,8
1042,846,13,8,0,2020,Portuguese Grand Prix,Lando,Norris,Lando Norris,65.0,7
1042,847,14,14,0,2020,Portuguese Grand Prix,George,Russell,George Russell,0.0,21
1042,841,15,17,0,2020,Portuguese Grand Prix,Antonio,Giovinazzi,Antonio Giovinazzi,3.0,16
1042,825,16,19,0,2020,Portuguese Grand Prix,Kevin,Magnussen,Kevin Magnussen,1.0,19
1042,154,17,18,0,2020,Portuguese Grand Prix,Romain,Grosjean,Romain Grosjean,2.0,18
1042,849,18,20,0,2020,Portuguese Grand Prix,Nicholas,Latifi,Nicholas Latifi,0.0,20
1042,826,19,13,0,2020,Portuguese Grand Prix,Daniil,Kvyat,Daniil Kvyat,14.0,14
1042,840,20,12,0,2020,Portuguese Grand Prix,Lance,Stroll,Lance Stroll,57.0,11
1043,1,1,2,1,2020,Emilia Romagna Grand Prix,Lewis,Hamilton,Lewis Hamilton,282.0,1
1043,822,2,1,1,2020,Emilia Romagna Grand Prix,Valtteri,Bottas,Valtteri Bottas,197.0,2
1043,817,3,5,1,2020,Emilia Romagna Grand Prix,Daniel,Ricciardo,Daniel Ricciardo,95.0,4
1043,826,4,8,0,2020,Emilia Romagna Grand Prix,Daniil,Kvyat,Daniil Kvyat,26.0,13
1043,844,5,7,0,2020,Emilia Romagna Grand Prix,Charles,Leclerc,Charles Leclerc,85.0,5
1043,815,6,11,0,2020,Emilia Romagna Grand Prix,Sergio,Pérez,Sergio Pérez,82.0,6
1043,832,7,10,0,2020,Emilia Romagna Grand Prix,Carlos,Sainz,Carlos Sainz,65.0,8
1043,846,8,9,0,2020,Emilia Romagna Grand Prix,Lando,Norris,Lando Norris,69.0,7
1043,8,9,18,0,2020,Emilia Romagna Grand Prix,Kimi,Räikkönen,Kimi Räikkönen,4.0,16
1043,841,10,20,0,2020,Emilia Romagna Grand Prix,Antonio,Giovinazzi,Antonio Giovinazzi,4.0,17
1043,849,11,19,0,2020,Emilia Romagna Grand Prix,Nicholas,Latifi,Nicholas Latifi,0.0,20
1043,20,12,14,0,2020,Emilia Romagna Grand Prix,Sebastian,Vettel,Sebastian Vettel,18.0,14
1043,840,13,15,0,2020,Emilia Romagna Grand Prix,Lance,Stroll,Lance Stroll,57.0,11
1043,154,14,16,0,2020,Emilia Romagna Grand Prix,Romain,Grosjean,Romain Grosjean,2.0,18
1043,848,15,6,0,2020,Emilia Romagna Grand Prix,Alexander,Albon,Alexander Albon,64.0,9
1043,847,16,13,0,2020,Emilia Romagna Grand Prix,George,Russell,George Russell,0.0,21
1043,830,17,3,0,2020,Emilia Romagna Grand Prix,Max,Verstappen,Max Verstappen,162.0,3
1043,825,18,17,0,2020,Emilia Romagna Grand Prix,Kevin,Magnussen,Kevin Magnussen,1.0,19
1043,839,19,12,0,2020,Emilia Romagna Grand Prix,Esteban,Ocon,Esteban Ocon,40.0,12
1043,842,20,4,0,2020,Emilia Romagna Grand Prix,Pierre,Gasly,Pierre Gasly,63.0,10
1044,1,1,6,1,2020,Turkish Grand Prix,Lewis,Hamilton,Lewis Hamilton,307.0,1
1044,815,2,3,1,2020,Turkish Grand Prix,Sergio,Pérez,Sergio Pérez,100.0,4
1044,20,3,12,1,2020,Turkish Grand Prix,Sebastian,Vettel,Sebastian Vettel,33.0,13
1044,844,4,14,0,2020,Turkish Grand Prix,Charles,Leclerc,Charles Leclerc,97.0,5
1044,832,5,13,0,2020,Turkish Grand Prix,Carlos,Sainz,Carlos Sainz,75.0,7
1044,830,6,2,0,2020,Turkish Grand Prix,Max,Verstappen,Max Verstappen,170.0,3
1044,848,7,4,0,2020,Turkish Grand Prix,Alexander,Albon,Alexander Albon,70.0,9
1044,846,8,11,0,2020,Turkish Grand Prix,Lando,Norris,Lando Norris,74.0,8
1044,840,9,1,0,2020,Turkish Grand Prix,Lance,Stroll,Lance Stroll,59.0,11
1044,817,10,5,0,2020,Turkish Grand Prix,Daniel,Ricciardo,Daniel Ricciardo,96.0,6
1044,839,11,7,0,2020,Turkish Grand Prix,Esteban,Ocon,Esteban Ocon,40.0,12
1044,826,12,17,0,2020,Turkish Grand Prix,Daniil,Kvyat,Daniil Kvyat,26.0,14
