raceId,driverId,year,qualifying_position,positionOrder,championship_position,podium_finish,starting_grid_diff
1046,849,2020,17,18,21,0,-1
1046,830,2020,3,19,3,0,-16
1046,844,2020,4,20,6,0,-16
1047,830,2020,1,1,3,1,0
1047,822,2020,2,2,2,1,0
1047,1,2020,3,3,1,1,0
1047,848,2020,5,4,7,0,1
1047,846,2020,4,5,9,0,-1
1047,832,2020,6,6,6,0,0
1047,817,2020,12,7,5,0,5
1047,842,2020,10,8,10,0,2
1047,839,2020,11,9,12,0,2
1047,840,2020,8,10,11,0,-2
1047,826,2020,7,11,14,0,-4
1047,8,2020,16,12,16,0,4
1047,844,2020,9,13,8,0,-4
1047,20,2020,13,14,13,0,-1
1047,847,2020,18,15,18,0,3
1047,841,2020,14,16,17,0,-2
1047,849,2020,20,17,21,0,3
1047,825,2020,17,18,20,0,-1
1047,850,2020,19,19,23,0,0
1047,815,2020,15,20,4,0,-5
1052,1,2021,2,1,1,1,1
1052,830,2021,1,2,2,1,-1
1052,822,2021,3,3,3,1,0
1052,846,2021,7,4,4,0,3
1052,815,2021,11,5,5,0,6
1052,844,2021,4,6,6,0,-2
1052,817,2021,6,7,7,0,-1
1052,832,2021,8,8,8,0,0
1052,852,2021,13,9,9,0,4
1052,840,2021,10,10,10,0,0
1052,8,2021,14,11,11,0,3
1052,841,2021,12,12,12,0,0
1052,839,2021,16,13,13,0,3
1052,847,2021,15,14,14,0,1
1052,20,2021,18,15,15,0,3
1052,854,2021,19,16,16,0,3
1052,842,2021,5,17,17,0,-12
1052,849,2021,17,18,18,0,-1
1052,4,2021,9,19,19,0,-10
1052,853,2021,20,20,20,0,0
1053,830,2021,3,1,2,1,2
1053,1,2021,1,2,1,1,-1
1053,846,2021,7,3,3,1,4
1053,844,2021,4,4,4,0,0
1053,832,2021,11,5,6,0,6
1053,817,2021,6,6,7,0,0
1053,842,2021,5,7,9,0,-2
1053,840,2021,10,8,10,0,2
1053,839,2021,9,9,12,0,0
1053,4,2021,15,10,13,0,5
1053,815,2021,2,11,8,0,-9
1053,852,2021,20,12,11,0,8
1053,8,2021,16,13,14,0,3
1053,841,2021,17,14,15,0,3
