raceId,number,positionOrder,qualifying_position,podium_finish,year,name,forename,surname,driver_name,points,championship_position
1031,44,4,2,0,2020,Austrian Grand Prix,Lewis,Hamilton,Lewis Hamilton,18.0,2
1031,44,4,2,0,2020,Austrian Grand Prix,Lewis,Hamilton,Lewis Hamilton,25.0,1
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,0.0,20
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,0.0,18
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,0.0,16
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,0.0,14
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,0.0,12
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,0.0,19
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,0.0,17
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,0.0,15
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,0.0,13
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,0.0,11
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,1.0,10
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,2.0,9
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,4.0,8
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,6.0,7
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,8.0,6
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,10.0,5
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,12.0,4
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,16.0,3
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,18.0,2
1031,55,5,8,0,2020,Austrian Grand Prix,Carlos,Sainz,Carlos Sainz,25.0,1
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,0.0,20
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,0.0,18
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,0.0,16
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,0.0,14
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,0.0,12
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,0.0,19
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,0.0,17
